puuid,region,rank
x9cQPAdGvrcOdyR5fqT1rMjZS4vX7GvveKRvNw3k0ogcFPAtGSECRleq6Bcljt363m0EXUvVFZwAFg,na1,CHALLENGER
tnziP3c9u_Bq-AuOajb236Prz-d4aMom7SPX7gZqPTZ0xBELAIUMYayl17XZOwthNqraY21UgH3kDA,na1,CHALLENGER
dpF93OJKrhEM4MRzLlqNEeIKuv8dKN670MTe1unAG13n0rje15Z4xuHCmtLtbwfO5a5J4_KeMBL7MA,na1,CHALLENGER
KAyl-hx0K7atfoTjt1PU8O9jAGZ5v3Foj6_9yKS5c4P1ITRmavbJs3a6moI2qrGK1evJDg5tu_VFTQ,na1,CHALLENGER
cl4B3aIoVqRU3gMSI3SfwgX9Pdj1rCYAU-lVsRSH8_Z79Gbsd66crIaL-RhBHCpeiawxC65fL_FVZQ,na1,CHALLENGER
5t9idaJwQySjBFXj_iSBZWvMv0gKlfrSzDS6xFpPr35P57inaWd9TJr3Eft7SRIYX6slfRl9lKUJ8g,na1,CHALLENGER
Aq8V3Fi0MK6qslzK8M05lBhpCN_CNyqcQF-GMBSGv29UmhOGzeHMDtixuCzC-LRvI3UCWBzGZGzTYw,na1,CHALLENGER
wpqXEA6Ma9-6hYyqc81yIxftNEMRk5V7YXCaDaSfnqKyZGzIO0s9SGMQTVpZf0GtJ4OBfbcZCgNtyQ,na1,CHALLENGER
KKVDQRcNHxyQjUNcr0tfxMfsEaqqY3iz_g-wjolK4vmBmSxYtgCw-uqtBQUtuv8AIfIRMPy9qw8YoA,na1,CHALLENGER
26YDo89KlMRhsbkKyQzfS_NZI8sMLaW02vLdnmqdIKTnBF1cRIV4hniWsQrQJcNpC1jNsEocWb88bQ,na1,CHALLENGER
H0pE2cdMgXav_l5rkAnGn8CGUw7gPl7GOoKNHLSrLjBJR5DSNZEf06J4twdpnzcYW9hAf7ai66z6ig,na1,CHALLENGER
1lMX4mVLIdXSS4yMZlfCeT5g8jmWsd_GasDxkBIvW-kl0G87ZthnBjmW81S72zHkS2UhPIS39ioNTg,na1,CHALLENGER
6WQLILDYiBsA9jPLNwbK47Yy0frxGX-g-iW2w2Ubm6O2-XMggNC-dJfykS1_JqF205UyywDijIzXUw,na1,CHALLENGER
PEvUHyGs8DziM3hKaOXwcHRTR1JZ5l5M9CAUWj6p0HbjbCLzBB1wGfXrXFX1sww3szn1FeJzThFB_g,na1,CHALLENGER
C-kBixl5U46pxHRVlOO8frDGw9GZjy23KItzbl7u01r8DBvx2uReI5OZvSYEG3eU8Lw5dYHL1sUtIw,na1,CHALLENGER
vIcpgyi5Ws7d5fc5dxxm35qo9lLxEeUMdE09WhFdsyoSNoXx3A6ZeaD7Jv5uJ2ljm7IPaHB7YBFZ6g,na1,CHALLENGER
nuYzhcIAdaruEqTDVv2zDpbfiZXJE1Rklvd2hdrFA11-qtkvBD6IfrnNi3f7ECkKTVY-BVQqcK5heQ,na1,CHALLENGER
-h43vJyand8TmcraTPCB3jjpFQ0q9krerKRYtnyQBKnVsyX9g0xImB16gFu5-9725YD7llixa6Lefg,na1,CHALLENGER
wWKbHkvtHqnMQjO9cmZ7W9j3vq0U5LQ71CFyvV4Wbb1Ec2onY7iDr3-Hkmr4cnLA_6aejXO92YItqA,na1,CHALLENGER
Cg8Mk_kNh8sQcsWmJDOL_hrhl_5Rhb7OSg-DKtpq7ms9fgw2JlR_AQOj_vla7BuUjtk9ZIotr8kzyg,na1,CHALLENGER
kRUeJO0Ub6HCFbdzQTLoDXGC57zL1qTpKLRZFu2LBnPTtyvpiDqmQ8EDCtKMQno91p3VBysVNrx4Ng,na1,CHALLENGER
KtHR0zx1z_pqhB7VMRWvyldthAT-ywQUeVZhMNpespnsNPf3wsIA7wD3DjS7oDtF2IxAYjUQ94-H2g,na1,CHALLENGER
RNmfK8sMszrfXh-qW-a3y8q3VF4U7eRstGJzxFCuJmjv_H_2Hmi0JQvHY0j5r7Z8J6uKS19_fmDEKw,na1,CHALLENGER
xIUne3prxEmWG_ol-jno242liYVRnhTEhLHJxq58mUtJE37sdVy-QGLEtLPtwG9qp4BSiMRKR2VdkA,na1,CHALLENGER
gMVmLYOU_4ap6cws4Br7RiONDKTsnwvCkTJAyKc1jpXTZ9LOiophhRHo6o8ut43kAwp74mi1sdiT5g,na1,CHALLENGER
D7lm-BHrzsJitG6EBW945Xtr5otP-EzCNehKh4VctqcjlALTle3-qCD-0LV4tihrZgBd4wx2668VFw,na1,CHALLENGER
_WEZJHAF_3xEhHG9L6F0ZjsB3x6NFGCVGdRCHHrEGlS4NtK6-ygM_AXyH72Gj9twWxEEyE7jiBKUMA,na1,CHALLENGER
Yu5kEwg2Hn47EJPyXeop0sm5C71oMw5GLfXYV5JXduj728W9c2rOWXBCbJLGrUYfsNitAiqRDTGKNA,na1,CHALLENGER
EoKTzivcvrwNjBEQg_AJFJG0wonD58SVyViwkQcE9qZseNm9TENFq8AmUshpEFmFoNOMB6WO4daEpg,na1,CHALLENGER
GvHKAMRqOGFGJ35WvP3zH2GaFFG_7TbRmCsjZXV_v7HW0evU2s615XwtWVuRTdb0KiY9QO1m1Hr3QA,na1,CHALLENGER
OLPG59TXypk3gkX45rzzks318tV-RqG1GQdTX9xmgYpV6LdJ9dci-r-YE_xLKxUCr22LiJ1A9vcNPw,na1,CHALLENGER
eo18MrSX0crQOts3SmbTIjbZXhxtkT89bfdXFLH_BfkIEpImvju6pae3mg5UBSvYvR2_4ATzCT9l2A,na1,CHALLENGER
01WfMWm44IpVQCCelMFmy24LtnYLDKQyUM58CHmH2eRq0Ab5mGNlWGOyLhjudw28wOO4H-r3O3O4mw,na1,CHALLENGER
Hlfbog_8A9xepI4_1XeF3NI_0sJTi_u1juB6VaI7OrwzHDbaRFWXE8FrtxMSD6y6pVAkjsUgghVybQ,na1,CHALLENGER
9cX1C5PD2Q5URZCPbFgGeuRxboTruYblx8ru3B7CF6UXXNMGNjbsg6abvWS05TWpRqLLkW2BTolswA,na1,CHALLENGER
ucBs9NRJM4dTSxLrHAkvwrzL2RX46AmCmRLF0AgFfqf8WDDQF6sNTPuoyz1ivmTJGPch_RR3ZJssXw,na1,CHALLENGER
EOhoG6SJJx-CTnF9jEmen6fpiC1opqPngdx9Q0aCyx1M04ke4lLlPN2R7rGzPMlGIw1sBied8eW4jw,na1,CHALLENGER
ZIsFVvKaxc-krBBwBVvcr4KK5NgzjX6zjw7Gj0QLrq4mu6ffIvttODt92KbXldIVLtSLvaN1DMYnRg,na1,CHALLENGER
_AM02YiOJA65cYMapBSD5fl2UYRhVrWsTRZnQFQJRFkJ2wfqp6OyUm1SKHgsNr8KsBGfnQjyQ8ErSQ,na1,CHALLENGER
S-PwB_dwIj_BLVb9OCp9VrD9_A_-6gB9r0UrHeKGmMuTJK3Ii4IS6OnppqFNHmdU8ZQuUYJlv-jlvA,na1,CHALLENGER
Gp-oQxmdK5QtcHta5YVGZlpXiO9ix_sUKI3i7cZALDBB7UfWzNDBHtZGLFNHGPzQVoQGT7-2P7u8VQ,na1,CHALLENGER
S6k34HJRsDNLUu6QAZ7x0joMKGvofQJX-QxpPXWtbEeZIqYKIl6GKxtaiECrCsDM-IWbj8ujW1jk-Q,na1,CHALLENGER
PFqQ7JOxJQi3GM26mtiS6H-qlMS2opIRZhh4HDH76rawB4ISLYYe9bDGsN9X1NgN-CGGqHGBGEVonw,na1,CHALLENGER
fT_FKdvQiiuochnmGDBWhE-7F2Ct_dFciDI7VbtdaAqxZW5xIRJyZVb2IWsgK-XefJ8Y-5rp4U9IKg,na1,CHALLENGER
fsK7UDOCL-xJcLzZxsmx7cDPAWDXfGQ1Ev5gpfA1Aofwrdk5alUqfupioXn-xUvXbwefNHwIDed1Zw,na1,CHALLENGER
gUUqomArmPxEpQo_8bMS2Bibayshjz_GjoKNqciI0_xZpzaS8P5jgeMcVlCRotvs5GJhzJNKUn2exQ,na1,CHALLENGER
JjDfAq3sCxzvTkRCwqsqrpJZOf1uMeyigolbJcSaYIKMueMtpHflMInme3vaGJcSF45hxCqHgWM3Ig,na1,CHALLENGER
2nXrsk5hKO38wdMzKAWHuu8FCHPZw-8j4VybgnR85pkuDaPRnhY2br8GZA5JDC2rE86-ipFrgtHy3g,na1,CHALLENGER
cOXZ0I3mPtLXvu7z8FXAQ2X6TcMZaJKwhPZFcZQia4976e-UBbAUyEz-9_ry-dfATMVHOUcUFm94pQ,na1,CHALLENGER
gIB0njsaDjl279w_2Fa0n85zEzxyiTefbJeVieQeBHe2L6GqOrygTEMqlzNt9Xy17l2A0FG0_HfCWg,na1,CHALLENGER
55phNGDO-zCoRJaeffrqt5ZZzW8N7oUcPXBW6Or3NfaMEMq-nfaowz32OTXZsercw0cf58CeRonn_A,na1,CHALLENGER
dYu5RVSXk-W3keZL-Aw292MSMbEnpSh1H2wjxBFHZbAL0LV_jonpOYKedDEQSgsCg-5_FV1RuPGXPA,na1,CHALLENGER
lSKzPJ0BskcC5PWDQ3lWaMNZ2XVZytboo6fneG0SW2rw_mDh7kkmOv_sNJhjLXSaVntxxSs5r1GlOg,na1,CHALLENGER
S66YBzYawASyU6xY18IoUDBkx3EvC9CYcisQDmP8AxvO9XEdWZmSNHGXTE1fwY0L3nOATc-r1HjvbA,na1,CHALLENGER
K4s0scmQ7l81oI4PKORWFagzJeHSFXC-SOPGMUugFLerBC56mYxuxK_r-BWqr1ZiLKmVdvmLtWsUxg,na1,CHALLENGER
yX4AgnrsAiGhWct2jRNUbVBJ6gThV_o4CGtzneQb7_XcKhMUD-PAZffi2xylpOwj_A3PldZhHANBBg,na1,CHALLENGER
LSfnVvEqtyhzeXeWTEHxoc0eA8IsbZqMi_0VyqjwLZiVZyGRPcyoAH3Wp55xq3-ju6PHqkeg2CvSyA,na1,CHALLENGER
hYFnycRIaQMdQkJ9z1mt6GIeuxvwtPwlk8XcW12c7X6fhxb1cwaFvTQsUlW4x9YmFkIfq5xS7FKCYg,na1,CHALLENGER
8XBFvwoGnCJozWDm-Jw9EMQ3ZAN-szqKUS2uWhyplgPW_r6NYr8qeuUiFMwNOV8JRraD1JSfLA9K-g,na1,CHALLENGER
xxNd7QBzH6M4KRA_yBvO-NWEXIyGpIurS9rZmg3MzwGraSnssFy3Kj_kDER0-gNAprJXJR2m_xob3A,na1,CHALLENGER
6uRMdrcWHBr63NnmH2XIazwEzeoyiptV7Lnx6MGJq4EPn4pOBTtE-Dm4CWvwkbtkLgZ_R-ezIRq_xQ,na1,CHALLENGER
_EVRSwPvXw09qbHU3PckAXlYDO0PDzWTFF1r4gv51ZgvFCK0PDEv6xePC3qq4VaozIbE54dO8uJLZw,na1,CHALLENGER
VyWj-cMzWuenW1pY--ziaYpuz9d4XuQdCH8oek6dKnIvWtvjCTtj8q4Ed0OSCvL4ZcihmcDOL1ZdtA,na1,CHALLENGER
