puuid,region,rank
pMKekogvVNr8seoqa3u1GKpPUN2nGtjPSs9W2mv56EFFfcXCMjKVYQxXOXXVucHiP-LOrjsGZrGZGw,euw1,SILVER
13S2Rria4Y6GvpFiXvJfBZ3sxJSPJzrFg7K1ZBM-iZ6_TBT3yRFNbymsQw4tQFtFWoc0LZQazYb_TQ,euw1,SILVER
sDPjvJODAsXRv0bUsLZIwXN1kbOOzIqbELeO98T8KvQFagvmNJXxJ6Vb2ymhL42vYbNYBtnS0QsLMQ,euw1,SILVER
XPFWHoS0XURux1Eex7poJkJPftfWiA9czunZA_Csk_gxD05rAlBYmOmmshmgsdpDWj9H0hHCMaYTOg,euw1,SILVER
8-HDIdl8Ga6whn_VfOZ6GYd3_86bWFbobsTnjzjo0l1AJmXKRUDGzidBRQsfPJAknJ1KO33kL1BXNQ,euw1,SILVER
TQAb_x5LMMZeY6rLCCzirydcX-Rb1UkaCpCuzoGpyyuH8MHc4GKVlUT6QpEa43-6MlC6GzaY80xnKg,euw1,SILVER
srMbALUR5oyeKf8iVti1SXOiuyH4F7psKmBf4SULazddMgbPu5VfFilVdPcBVE8g61iK4XNo0Zj0CA,euw1,SILVER
gi8vDXK1-iFLSXcLvPfweupQ1dmum3gOG3QV4bY3Zi_LYp0picWZn9PUzKuWmaEQVSuSDdeQ7Z583A,euw1,SILVER
OCaFJULg3u5enlO1o7D4wwkXsXzYnIfwGpJkGllqtIacLjji6PVavJeTr5mcGZTtUlzp9C2nm_L5HA,euw1,SILVER
r-nkAN_FTuga-gGgOMNaLuUMoA9tIK9pBULOkp8Bddy_0kpxhLx4-yhD9to75nrfcR-tt97vbaELUg,euw1,SILVER
v9nUSj3Hx0wqtcNSoIE-wvmQjOsyiE1LbUKVqu-dAZjTtBq31wRlEQI1wcl5V9uyl-IAi1rtBBzWLQ,euw1,SILVER
yLajQzmd6u-51ULHoVqKBIQXZhGhsHqIvbv8ydOf-0QGlmiO0cE7Cc2JJmlJFk81r3e9X-3I7VMwjg,euw1,SILVER
O5dY83gBjYM4vYfr26Q4YCBpBtuyKAFmbSIpOHufZzd9JpakABFooLyknQYkY97EmplKFnxHclDVXQ,euw1,SILVER
CVZOu6KCUc3fQ9nE7UyDEzimGWoNrKE96hZpFLd-707gsmszMmR2-FiF1g4sXY0tZkKWGpDCWGtyKw,euw1,SILVER
2t_4mp3Qhn6GUK68cN3fB85Gq2vpiqAQ4S0iewSB04EgTyh2OR1ag_XRuKPA6YlN9r6w6JHY7o6cEw,euw1,SILVER
2x1rZGOiw9m4yJqRA2wIaCnwBIgSig3MAKjqfTBJqavS-K8Dli2zizZB3TuRXKUBLRi6dnwGO2BrxQ,euw1,SILVER
esx4Cd1dkRQMidxwh9WSj2WcoFal-F8qReQ4U2Bxs7bGoDF4V7iPb4sSap93Cq8rwArkcSnGzfzrUg,euw1,SILVER
0ponNS7z5iZqUNjIdEZid0GIs-modMBJasoPHemMW_fqEooIM8zE9GFDl2xsdhj9a-E89c_mR4CdHA,euw1,SILVER
8rNSrPFIrqdDK7HtrVwZ_dYnEdh2XBxIu-X2k__4gVvQsBF3niq1_HTQjnTDTlfkKXoYy7ZbqSsBsg,euw1,SILVER
AbgA7c7uT16kn9OlNt88nUsCI1rgQrN-SIeh7tEZb1yq8qMfqJ5YY-cQjQVcIslNuELAWLvncwt9gw,euw1,SILVER
pxR1fgArcZ9SLiUvtWgr6t7jYvYu4mgVXAaKBOAbmv0rF30unWgQ3j-JxaP4LI0Gc4DgWLWhgQnczA,euw1,SILVER
jwK21QFZlaUnAz8KmQn3WiuqhEMe41-QYgY1KvPp7OOTyBSK9C61MxjvwgNfbRUrkKDXnu6b73vZAA,euw1,SILVER
pK9sAm04TYjvh-0-D-G3ESrJ1roSUIFNpNMDjDloetMJMGXMp-4K1-7yzSTkhtZbQrvMSmsDcxbYLg,euw1,SILVER
w3qAqRoDG5IHKzQ3n_HV8LTGEtRIsLiwrkrKgliUD_VmezI6g7KznEFgKIdFIgtbXoDt2WuZVjHQVw,euw1,SILVER
XLvWRlCUi0ZsSPegZb3jHPLazAHliOMq_mCdMQiCdYIXRCP1h_YO6iWraa1XQIMLfg4X82mTYB0Jog,euw1,SILVER
8WOVW5JwxYqffSN4Wg-LMhztizhVfMOtXCPpeKOdR4WCbTfN-0ElCDTUGRILcEER8qsRW_t9M-VkTw,euw1,SILVER
quVpcFO70YZYqSe_p3e6T0bXuBkAXNd-SfoFHUX3UqT4nOoXycEquhPzXFCdg0fNQve5Ydwvgv5yWg,euw1,SILVER
j5IyHy28By8yt4mwOPc8fSq586KDrzhc6-j-4LgUzc0-0e2_aq3N3RTHLz7S8ClvjJSJuj7uMJjFSA,euw1,SILVER
KDCqzdI3hUmRb1cKmDVmYfYBF2LzXTVt-rQ33RGPYQ4I_DUPTpzapJbqoQJdClDI1jqgOpDsYd3pTg,euw1,SILVER
4NBgsw891hHtDEaX-Svp4bp3r9t_wPctUHh3a_00fBuvURWUkiFeMiccvL8S74vkXsyFm-oUAhfVWA,euw1,SILVER
WnAZmnQJT45h9zeEkUS44b3awC1foJdyY6tLN4lb6k-KpULYZ-5F63ZMeaL-xJyJqERTHeF0ZaIxkw,euw1,SILVER
PhcqgXdi3xK9G6OaCA5bWSDtpKl9nknULNVmSwGjjJm8Ha-JhNPPbxYUtOpyZis8z0CFC2yUPbNhOg,euw1,SILVER
nD29nBUQz295Zgg4wnMweEhydPrE-TqBWJrJ4qh3J3DojwVRGZPFFfySUP6WooQMWXhigjGuY42MXQ,euw1,SILVER
Iu3UwvhCAx73-bQYquRJiubIKBBQqI2BVy8JbzTFAVKOAkDc0o771-oso3iIVZ-xQh7wyACkZTiDKA,euw1,SILVER
uBrH1nunnAILnUgDclOI6Lm8eZPG-x34HJuwj9nyLVbzPxh5GlLMux5WdyTJ3Wa9py9DFOZ3qRuQhw,euw1,SILVER
41YEVuF35s1rE6IOctSYTuT7e3v2y2IpopcLmQRsnD7sye3dfly5n-tfT0kvgmPFHh6YyvGuT8Mbhw,euw1,SILVER
x_WhakAHCrwIE2osT_6YBwvgeZn5bwjjtt3Kuq64oIf9a96wcET4BgJu1dN5ztwspWysjzD2bmWTtg,euw1,SILVER
16dG1VyuRSGqPQNevp47MwBDyW3aXdb-hggyz8d-tM-CaHXOW_qKFgeDv8v9Yk-dk1UDcSnLuP2URg,euw1,SILVER
bQMJj4BaK_WWLZjGmzi_3-UFy_qK1iu54dWhrwxFY2AFvKKG2AzcYTC7e3S-agBJyb7cGMHi8Fs8WQ,euw1,SILVER
3QgCzjmQeIqFizpYWALE604EbNFY_SLMt_0Bg3RCzlAwsHlj8qwgITJLnGwkwyL3IMTr2NStRLP3nA,euw1,SILVER
wG7UBQy9wvrI_cGImyobLEOVDka6DCpk2e8CcEg4uNvsnz19q9fLr3WGunNB1Udpua9VM91HiBPTqw,euw1,SILVER
d_7549pEhV62I-MdloYy4eST6Q0QSHwjPaJ9oy2sgumsZfDq2rT7vQppxDGMs01myNffLFjxVniKSw,euw1,SILVER
ur-z_lBZCk8oIkkTiDKQQEf3ZsogeFTgAwOMVOzjnYrDsHMNJBcX7jKnbn_8uvmYJkY9T6gh1r8lKg,euw1,SILVER
IHksi9DiekLevL6ROd3LlCqEiwF40JHw41J3vMZ-EjD0M6UoxgMz0YJHodknvEeoEXePhuSgK-4cTQ,euw1,SILVER
J2g-8VtaEte5g_a_9fpcd1Y3hhKX6jsxwY3sBEjtdON6P2UYvk0bRqvySiuhcqx_dNT-L3XcxbHefw,euw1,SILVER
L_Baocvp5fYp5yWHCe087Z9nWE0uvzyfn-C3Xf86NIIUWTayBOUHoN_K8P_GaiHR7CgqwzRr8X-gUQ,euw1,SILVER
PnpxH1E12xgggIjWTXQ3TNzODq_RSUL1zh3oo5jV4TFv7NJg7vxyTElW1h5tzKLYYxymdbeKrqAAQw,euw1,SILVER
Ixpksaly-TSsPXLNKDzaDKdTI4IVmF3VXpc0G21vNo11ZFfY3mKhQ2D6p84BrQ-cVClXbJhRV53_sQ,euw1,SILVER
DxSQwUm8Wct4-07EXuzafCMngSlsFENdZe_h8YmQXSEYSjBZQHmJhNxu3I_1AqSSYhmcseNW372gZA,euw1,SILVER
2zwGyQ8p61VXA8hFnYk-2bkvpllkVhu1xK5OOvoyF_zbqek0xZYFevKm0UuCOPbGmpLCnw-iT3_lsg,euw1,SILVER
oypR7zmZ7cZQ25ZHm6Zt5CJv4GP-EhtEOkSVyNbcraAil83dZm8YgBE8y1s3mGhhDU1gZOa-pktxxA,euw1,SILVER
GARmzt8jFQefTekobaXHIhPVipyLMYxbeLgyMex0ZdEwRmTpd_6x9ymZrKIVvQwv4tVnk7-LpdjOlg,euw1,SILVER
zSixFSr_wc1np_8Vp0M5wvPW5hxR9Dpk3uoBUG7ijWmb2LvWJpXfDrRisYNe_ec3YvFLujgriq9eow,euw1,SILVER
HgWD_URYIb7x3mbQRu3ShG2PBixmNNwUQjM4S1kNXMuYzPSTTWG9ENAVXissi-u0mHmdmfTuLhh9nw,euw1,SILVER
F03S-RdIUSzAslyIdJOD74eDT6jOJN--XxvL2OhFt_L9CrnXU2b0A9fmDZqmX7IgWjYi0nFim506fA,euw1,SILVER
owfxxt7xoIVrn_fVOZPoTHhLYvJ_vkEhs3mHgaKUDEcR24E5m6wFq3V2uzviwMbTiqVTqKJ0iOTRRg,euw1,SILVER
DE8DDo3q0XfWmGJCAzEYLzxKwBd-kMlTtcnCoZfDfPnfEI91A9r6Q1waOUdqB0711tjNR8YSehVvZQ,euw1,SILVER
g_aCK0RsDW58a7iwknBN1bffPLOFfz1jRobD3da17pQriguI8xn5RNa256nvgCMcx7pTxCGfID9OWg,euw1,SILVER
_mEm7Ddi2b5GGdpdjQvN-NeLVQ-nJ4wGoQo1yNAzkQ40_m2FwZbhmgZrU4EspubHOKmYfVt0tzxyxQ,euw1,SILVER
Kn29--4XsWvyaJnNRHCYQ9D7bne3dgLKrX3IeQhABRqAf_BgA0hAnyNqw6d0YdCqYVOxptthaMYkow,euw1,SILVER
eZWw0XLz4Fzeh9VSlxBbVa-PuER0nFpDrepNSHTvBnGUlQ4rpXEJfeqRZIQq1me6JSsr8jM-MP4DCw,euw1,SILVER
aOqOHbg4eY7JkqgtjU6bjfXuGid1JaRsDI8XGTxsTst6iuOSyfMf5UvcoaiSKh9PKp--XZZUwGXswA,euw1,SILVER
81zPspa1xnUC028aT_SmIKP4lnp5XGfc9Ae-gFCkYmnZxa4RRrLBPoy5p_dvpUu3cf62KRYufCWNcw,euw1,SILVER
ZC90u2kJZw6FDchSiODP8qS-aSdyit7t8_CKVQwJUyaB3lvtQXOqsnx7qOAYOCMqJNuIRfhWJk57QQ,euw1,SILVER
lrQFMskWmEPFM25kgz0Op5cbHBaA4HTQ5p-skRoP_aHXstJVZ-jSaAdnGtnydmf0YtRgsagMgViEug,euw1,SILVER
yMd5JMl3-U77JQhPoDdRPy12yo_-S9ITTGTtiEpOF9Bd8V7YuvMDEmM-sv83i8qfsHvTW40NetB8kw,euw1,SILVER
40Bf_Q3BMI_MTqh8-gV3hIRemXTfHpSxdpyzez7ZQzszXz5iLAOaQpV9cBpXIsJTsPpgwync-W-QQw,euw1,SILVER
yiFvDfaCKddhL04NlBopUB3O1_Xm40Pady07GRoO3rW2t6Db08Of9gpmR7CMX5-rtlF29XoWTueEfA,euw1,SILVER
qU9zw_GwAf4QjGvbkBJtJcvTT5j2Id15kRYJKy74uWSm-PjCMg5HzEvOAafaVNzJoz9MJ-jXhD_TFQ,euw1,SILVER
pTB1Fm9OZE0UIGcr6lWFnZabQNEFnMDu5di6p8s409jOjbd4DJIxpGgALF256y-CWCdvf1zCgQx9ZQ,euw1,SILVER
tIS3cH3aiubn2Yrgjzk9FDOwNddYLOdD9CJhn_A24I3WYO7MHD5uNR_WXMJzEC0Q_sgFYKoc9Xhhiw,euw1,SILVER
